truth	prediction	n
1.1.1	1.1.1	4
1.1.2	1.1.2	1
1.2.1	1.2.1	12
1.3.1	1.3.1	174
1.3.2	1.3.2	61
1.4.1	1.4.1	39
1.4.10	1.4.10	125
1.4.2	1.4.2	27
1.4.3	1.4.3	33
1.4.4	1.4.4	176
1.4.5	1.4.5	61
1.4.6	1.4.6	7
1.4.7	1.4.7	5
1.4.8	1.4.8	5
1.4.9	NA	337
2.1.1	2.1.1	19
2.1.2	2.1.2	12
2.1.3	2.1.3	5
2.1.4	2.1.4	26
2.2.1	2.2.1	12
2.2.2	2.2.2	23
2.2.3	2.2.3	9
2.2.4	2.2.4	621
2.2.5	NA	179
2.2.6	NA	148
2.3.1	2.3.1	26
2.3.2	2.3.2	1319
2.3.2	NA	3
2.3.3	2.3.3	43
2.4.1	2.4.1	55
2.4.10	2.4.10	263
2.4.11	2.4.11	27
2.4.12	2.4.12	96
2.4.13	2.4.13	637
2.4.14	2.4.14	557
2.4.14	NA	1
2.4.15	2.4.15	412
2.4.16	2.4.16	218
2.4.16	NA	1
2.4.17	2.4.17	5
2.4.2	NA	864
2.4.4	2.4.4	6
2.4.5	2.4.5	31
2.4.6	2.4.6	87
2.4.7	NA	50
2.4.9	2.4.9	7
2.5.1	2.5.1	147
2.5.2	2.5.2	84
2.5.3	2.5.3	29
2.5.4	2.5.4	7
2.5.5	2.5.5	5
2.5.6	2.5.6	3239
2.5.6	NA	2
2.5.7	2.5.7	11
2.5.8	2.5.8	78
2.5.9	2.5.9	5
NA	NA	92
