node	parent	level	classifiable	source
ESL	ROOT	ESL	true	definition
GC1	ESL	GC	true	metadata
GC2	ESL	GC	true	metadata
1.1	GC1	lineage	true	metadata
1.2	GC1	lineage	true	metadata
1.3	GC1	lineage	true	metadata
1.4	GC1	lineage	true	metadata
2.1	GC2	lineage	true	metadata
2.2	GC2	lineage	true	metadata
2.3	GC2	lineage	true	metadata
2.4	GC2	lineage	true	metadata
2.5	GC2	lineage	true	metadata
1.1.1	1.1	sublineage	true	metadata
1.1.2	1.1	sublineage	true	metadata
1.2.1	1.2	sublineage	true	metadata
1.3.0	1.3	unresolved_bucket	false	metadata
1.3.1	1.3	sublineage	true	metadata
1.3.2	1.3	sublineage	true	metadata
1.4.0	1.4	unresolved_bucket	false	metadata
1.4.1	1.4	sublineage	true	metadata
1.4.2	1.4	sublineage	true	metadata
1.4.3	1.4	sublineage	true	metadata
1.4.4	1.4	sublineage	true	metadata
1.4.5	1.4	sublineage	true	metadata
1.4.6	1.4	sublineage	true	metadata
1.4.7	1.4	sublineage	true	metadata
1.4.8	1.4	sublineage	true	metadata
1.4.9	1.4	sublineage	true	metadata
1.4.10	1.4	sublineage	true	metadata
2.1.0	2.1	unresolved_bucket	false	metadata
2.1.1	2.1	sublineage	true	metadata
2.1.2	2.1	sublineage	true	metadata
2.1.3	2.1	sublineage	true	metadata
2.1.4	2.1	sublineage	true	metadata
2.2.0	2.2	unresolved_bucket	false	metadata
2.2.1	2.2	sublineage	true	metadata
2.2.2	2.2	sublineage	true	metadata
2.2.3	2.2	sublineage	true	metadata
2.2.4	2.2	sublineage	true	metadata
2.2.5	2.2	sublineage	true	metadata
2.2.6	2.2	sublineage	true	metadata
2.3.0	2.3	unresolved_bucket	false	metadata
2.3.1	2.3	sublineage	true	metadata
2.3.2	2.3	sublineage	true	metadata
2.3.3	2.3	sublineage	true	metadata
2.4.0	2.4	unresolved_bucket	false	metadata
2.4.1	2.4	sublineage	true	metadata
2.4.2	2.4	sublineage	true	metadata
2.4.4	2.4	sublineage	true	metadata
2.4.5	2.4	sublineage	true	metadata
2.4.6	2.4	sublineage	true	metadata
2.4.7	2.4	sublineage	true	metadata
2.4.9	2.4	sublineage	true	metadata
2.4.10	2.4	sublineage	true	metadata
2.4.11	2.4	sublineage	true	metadata
2.4.12	2.4	sublineage	true	metadata
2.4.13	2.4	sublineage	true	metadata
2.4.14	2.4	sublineage	true	metadata
2.4.15	2.4	sublineage	true	metadata
2.4.16	2.4	sublineage	true	metadata
2.4.17	2.4	sublineage	true	metadata
2.5.0	2.5	unresolved_bucket	false	metadata
2.5.1	2.5	sublineage	true	metadata
2.5.2	2.5	sublineage	true	metadata
2.5.3	2.5	sublineage	true	metadata
2.5.4	2.5	sublineage	true	metadata
2.5.5	2.5	sublineage	true	metadata
2.5.6	2.5	sublineage	true	metadata
2.5.7	2.5	sublineage	true	metadata
2.5.8	2.5	sublineage	true	metadata
2.5.9	2.5	sublineage	true	metadata
