source_row	sample_id	severity	code	detail
5024	GCF_000580135	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5026	GCF_000580175	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5027	GCF_000580195	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5028	GCF_000580215	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5029	GCF_000580235	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5031	GCF_000580275	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5032	GCF_000580295	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5034	GCF_000580335	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5036	GCF_000580375	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5037	GCF_000580395	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5041	GCF_000580475	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5045	GCF_000580555	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5046	GCF_000580575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5052	GCF_000580835	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5054	GCF_000580895	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5056	GCF_000580935	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5060	GCF_000581175	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5061	GCF_000581575	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
5062	GCF_000581735	MEDIUM	GC_WITHOUT_LINEAGE	GC2 is known but lineage and sublineage are unresolved
