node	parent	level	target_n	mrca_node	monophyletic	mrca_purity	branch_mutation_n	passing_candidate_n	passing_homoplasy_one_n	max_homoplasy	requires_zero_outside_alt	has_at_least_3_robust
GC1	ESL	GC	1094	N_1524	true	1.00000000	0	0	0	10	true	false
GC2	ESL	GC	9434	N_13657	true	1.00000000	35363	8675	2257	10	true	true
1.1	GC1	lineage	5	N_1523	true	1.00000000	5322	2125	2125	10	true	true
1.2	GC1	lineage	12	N_1213	true	1.00000000	902	177	177	10	true	true
1.3	GC1	lineage	241	N_1515	true	1.00000000	25	7	6	10	true	true
1.4	GC1	lineage	836	N_1194	true	1.00000000	2	1	0	10	true	false
2.1	GC2	lineage	68	N_1616	true	1.00000000	787	5	5	10	true	true
2.2	GC2	lineage	1005	N_13657	false	0.10652957	35363	0	0	10	true	false
2.3	GC2	lineage	1400	N_13651	false	0.16742406	14	0	0	10	true	false
2.4	GC2	lineage	3341	N_13649	false	0.47995978	3	0	0	10	true	false
2.5	GC2	lineage	3620	N_12229	true	1.00000000	193	8	3	10	true	true
1.1.1	1.1	sublineage	4	N_1521	true	1.00000000	4575	164	164	10	true	true
1.1.2	1.1	sublineage	1	SRR13619228.result.fastq	true	1.00000000	559	290	290	10	true	true
1.2.1	1.2	sublineage	12	N_1213	true	1.00000000	902	177	177	10	true	true
1.3.1	1.3	sublineage	174	N_1512	true	1.00000000	1203	21	21	10	true	true
1.3.2	1.3	sublineage	61	N_1291	true	1.00000000	12	1	1	10	true	false
1.4.1	1.4	sublineage	39	N_62	true	1.00000000	371	45	45	10	true	true
1.4.2	1.4	sublineage	27	N_366	true	1.00000000	286	76	76	10	true	true
1.4.3	1.4	sublineage	33	N_111	true	1.00000000	255	3	3	10	true	true
1.4.4	1.4	sublineage	176	N_329	true	1.00000000	33	25	25	10	true	true
1.4.5	1.4	sublineage	61	N_1173	true	1.00000000	1980	162	161	10	true	true
1.4.6	1.4	sublineage	7	N_1080	true	1.00000000	26	22	22	10	true	true
1.4.7	1.4	sublineage	5	N_380	true	1.00000000	3996	232	232	10	true	true
1.4.8	1.4	sublineage	5	N_1061	true	1.00000000	79	50	50	10	true	true
1.4.9	1.4	sublineage	337	N_874	true	1.00000000	62	0	0	10	true	false
1.4.10	1.4	sublineage	125	N_1051	true	1.00000000	88	1	1	10	true	false
2.1.1	2.1	sublineage	19	N_1588	true	1.00000000	23	22	22	10	true	true
2.1.2	2.1	sublineage	12	N_1612	true	1.00000000	8	8	8	10	true	true
2.1.3	2.1	sublineage	5	N_1596	true	1.00000000	4	4	4	10	true	true
2.1.4	2.1	sublineage	26	N_1564	true	1.00000000	2	2	2	10	true	false
2.2.1	2.2	sublineage	12	N_1637	true	1.00000000	16	2	2	10	true	false
2.2.2	2.2	sublineage	23	N_1689	true	1.00000000	5688	14	14	10	true	true
2.2.3	2.2	sublineage	9	N_1654	true	1.00000000	597	8	8	10	true	true
2.2.4	2.2	sublineage	621	N_2571	true	1.00000000	1292	41	4	10	true	true
2.2.5	2.2	sublineage	179	N_2820	true	1.00000000	101	0	0	10	true	false
2.2.6	2.2	sublineage	148	N_3027	true	1.00000000	80	0	0	10	true	false
2.3.1	2.3	sublineage	26	N_4819	true	1.00000000	769	8	8	10	true	true
2.3.2	2.3	sublineage	1322	N_4769	true	1.00000000	7	2	0	10	true	false
2.3.3	2.3	sublineage	43	N_4878	true	1.00000000	577	1	1	10	true	false
2.4.1	2.4	sublineage	55	N_4973	true	1.00000000	2	2	2	10	true	false
2.4.2	2.4	sublineage	864	N_13422	true	1.00000000	206	0	0	10	true	false
2.4.4	2.4	sublineage	6	N_12248	true	1.00000000	1329	2	2	10	true	false
2.4.5	2.4	sublineage	31	N_13518	true	1.00000000	124	1	1	10	true	false
2.4.6	2.4	sublineage	87	N_13647	true	1.00000000	183	5	5	10	true	true
2.4.7	2.4	sublineage	50	N_13481	true	1.00000000	2352	0	0	10	true	false
2.4.9	2.4	sublineage	7	N_12264	true	1.00000000	205	6	6	10	true	true
2.4.10	2.4	sublineage	263	N_7778	true	1.00000000	389	0	0	10	true	false
2.4.11	2.4	sublineage	27	N_6970	true	1.00000000	269	1	1	10	true	false
2.4.12	2.4	sublineage	96	N_7416	true	1.00000000	54	14	14	10	true	true
2.4.13	2.4	sublineage	637	N_6930	true	1.00000000	8	5	4	10	true	true
2.4.14	2.4	sublineage	558	N_5682	true	1.00000000	110	1	0	10	true	false
2.4.15	2.4	sublineage	412	N_6192	true	1.00000000	13	7	7	10	true	true
2.4.16	2.4	sublineage	219	N_7282	true	1.00000000	472	2	0	10	true	false
2.4.17	2.4	sublineage	5	N_4986	true	1.00000000	19	15	15	10	true	true
2.5.1	2.5	sublineage	147	N_8083	true	1.00000000	2	1	1	10	true	false
2.5.2	2.5	sublineage	84	N_8244	true	1.00000000	5061	3	3	10	true	true
2.5.3	2.5	sublineage	29	N_8129	true	1.00000000	4	1	1	10	true	false
2.5.4	2.5	sublineage	7	N_8141	true	1.00000000	248	12	12	10	true	true
2.5.5	2.5	sublineage	5	N_12226	true	1.00000000	3	2	2	10	true	false
2.5.6	2.5	sublineage	3241	N_12184	true	1.00000000	184	0	0	10	true	false
2.5.7	2.5	sublineage	11	N_12218	true	1.00000000	5	2	2	10	true	false
2.5.8	2.5	sublineage	78	N_7889	true	1.00000000	291	1	1	10	true	false
2.5.9	2.5	sublineage	5	N_12196	true	1.00000000	7	6	6	10	true	true
