node	parent	level	target_n	mrca_node	mrca_descendant_n	mrca_purity	monophyletic	mrca_depth
GC1	ESL	GC	1094	N_1524	1094	1.00000000	true	1
GC2	ESL	GC	9434	N_13657	9434	1.00000000	true	1
1.1	GC1	lineage	5	N_1523	5	1.00000000	true	2
1.2	GC1	lineage	12	N_1213	12	1.00000000	true	4
1.3	GC1	lineage	241	N_1515	241	1.00000000	true	3
1.4	GC1	lineage	836	N_1194	836	1.00000000	true	4
2.1	GC2	lineage	68	N_1616	68	1.00000000	true	2
2.2	GC2	lineage	1005	N_13657	9434	0.10652957	false	1
2.3	GC2	lineage	1400	N_13651	8362	0.16742406	false	7
2.4	GC2	lineage	3341	N_13649	6961	0.47995978	false	9
2.5	GC2	lineage	3620	N_12229	3620	1.00000000	true	12
1.1.1	1.1	sublineage	4	N_1521	4	1.00000000	true	3
1.1.2	1.1	sublineage	1	SRR13619228.result.fastq	1	1.00000000	true	3
1.2.1	1.2	sublineage	12	N_1213	12	1.00000000	true	4
1.3.1	1.3	sublineage	174	N_1512	174	1.00000000	true	5
1.3.2	1.3	sublineage	61	N_1291	61	1.00000000	true	4
1.4.1	1.4	sublineage	39	N_62	39	1.00000000	true	9
1.4.2	1.4	sublineage	27	N_366	27	1.00000000	true	10
1.4.3	1.4	sublineage	33	N_111	33	1.00000000	true	10
1.4.4	1.4	sublineage	176	N_329	176	1.00000000	true	10
1.4.5	1.4	sublineage	61	N_1173	61	1.00000000	true	10
1.4.6	1.4	sublineage	7	N_1080	7	1.00000000	true	11
1.4.7	1.4	sublineage	5	N_380	5	1.00000000	true	13
1.4.8	1.4	sublineage	5	N_1061	5	1.00000000	true	14
1.4.9	1.4	sublineage	337	N_874	337	1.00000000	true	15
1.4.10	1.4	sublineage	125	N_1051	125	1.00000000	true	15
2.1.1	2.1	sublineage	19	N_1588	19	1.00000000	true	4
2.1.2	2.1	sublineage	12	N_1612	12	1.00000000	true	4
2.1.3	2.1	sublineage	5	N_1596	5	1.00000000	true	4
2.1.4	2.1	sublineage	26	N_1564	26	1.00000000	true	4
2.2.1	2.2	sublineage	12	N_1637	12	1.00000000	true	2
2.2.2	2.2	sublineage	23	N_1689	23	1.00000000	true	5
2.2.3	2.2	sublineage	9	N_1654	9	1.00000000	true	4
2.2.4	2.2	sublineage	621	N_2571	621	1.00000000	true	6
2.2.5	2.2	sublineage	179	N_2820	179	1.00000000	true	7
2.2.6	2.2	sublineage	148	N_3027	148	1.00000000	true	7
2.3.1	2.3	sublineage	26	N_4819	26	1.00000000	true	9
2.3.2	2.3	sublineage	1322	N_4769	1322	1.00000000	true	9
2.3.3	2.3	sublineage	43	N_4878	43	1.00000000	true	9
2.4.1	2.4	sublineage	55	N_4973	55	1.00000000	true	10
2.4.2	2.4	sublineage	864	N_13422	864	1.00000000	true	11
2.4.4	2.4	sublineage	6	N_12248	6	1.00000000	true	11
2.4.5	2.4	sublineage	31	N_13518	31	1.00000000	true	11
2.4.6	2.4	sublineage	87	N_13647	87	1.00000000	true	11
2.4.7	2.4	sublineage	50	N_13481	50	1.00000000	true	11
2.4.9	2.4	sublineage	7	N_12264	7	1.00000000	true	11
2.4.10	2.4	sublineage	263	N_7778	263	1.00000000	true	12
2.4.11	2.4	sublineage	27	N_6970	27	1.00000000	true	12
2.4.12	2.4	sublineage	96	N_7416	96	1.00000000	true	13
2.4.13	2.4	sublineage	637	N_6930	637	1.00000000	true	13
2.4.14	2.4	sublineage	558	N_5682	558	1.00000000	true	13
2.4.15	2.4	sublineage	412	N_6192	412	1.00000000	true	13
2.4.16	2.4	sublineage	219	N_7282	219	1.00000000	true	13
2.4.17	2.4	sublineage	5	N_4986	5	1.00000000	true	13
2.5.1	2.5	sublineage	147	N_8083	147	1.00000000	true	14
2.5.2	2.5	sublineage	84	N_8244	84	1.00000000	true	14
2.5.3	2.5	sublineage	29	N_8129	29	1.00000000	true	14
2.5.4	2.5	sublineage	7	N_8141	7	1.00000000	true	14
2.5.5	2.5	sublineage	5	N_12226	5	1.00000000	true	14
2.5.6	2.5	sublineage	3241	N_12184	3241	1.00000000	true	14
2.5.7	2.5	sublineage	11	N_12218	11	1.00000000	true	14
2.5.8	2.5	sublineage	78	N_7889	78	1.00000000	true	14
2.5.9	2.5	sublineage	5	N_12196	5	1.00000000	true	14
