node	parent	level	classifiable	member_n	country_n	year_value_n	pas_st_n
ESL	ROOT	ESL	true	10820	74	35	78
GC1	ESL	GC	true	1094	55	32	19
GC2	ESL	GC	true	9726	65	32	60
1.1	GC1	lineage	true	5	1	1	1
1.2	GC1	lineage	true	12	3	5	1
1.3	GC1	lineage	true	241	14	18	9
1.4	GC1	lineage	true	836	53	32	13
2.1	GC2	lineage	true	68	10	10	2
2.2	GC2	lineage	true	1005	31	29	15
2.3	GC2	lineage	true	1400	44	27	17
2.4	GC2	lineage	true	3341	41	23	19
2.5	GC2	lineage	true	3620	49	17	19
1.1.1	1.1	sublineage	true	4	1	1	1
1.1.2	1.1	sublineage	true	1	1	1	1
1.2.1	1.2	sublineage	true	12	3	5	1
1.3.0	1.3	unresolved_bucket	false	6	3	4	1
1.3.1	1.3	sublineage	true	174	12	18	7
1.3.2	1.3	sublineage	true	61	8	11	4
1.4.0	1.4	unresolved_bucket	false	21	11	15	3
1.4.1	1.4	sublineage	true	39	6	7	3
1.4.2	1.4	sublineage	true	27	3	5	1
1.4.3	1.4	sublineage	true	33	9	17	3
1.4.4	1.4	sublineage	true	176	17	17	4
1.4.5	1.4	sublineage	true	61	2	12	3
1.4.6	1.4	sublineage	true	7	4	5	2
1.4.7	1.4	sublineage	true	5	1	1	1
1.4.8	1.4	sublineage	true	5	3	3	1
1.4.9	1.4	sublineage	true	337	26	20	4
1.4.10	1.4	sublineage	true	125	17	18	5
2.1.0	2.1	unresolved_bucket	false	6	5	3	2
2.1.1	2.1	sublineage	true	19	1	1	1
2.1.2	2.1	sublineage	true	12	2	4	1
2.1.3	2.1	sublineage	true	5	2	3	1
2.1.4	2.1	sublineage	true	26	5	7	1
2.2.0	2.2	unresolved_bucket	false	13	7	7	2
2.2.1	2.2	sublineage	true	12	4	8	2
2.2.2	2.2	sublineage	true	23	8	9	2
2.2.3	2.2	sublineage	true	9	2	4	2
2.2.4	2.2	sublineage	true	621	9	20	8
2.2.5	2.2	sublineage	true	179	8	20	3
2.2.6	2.2	sublineage	true	148	16	18	7
2.3.0	2.3	unresolved_bucket	false	9	3	5	2
2.3.1	2.3	sublineage	true	26	2	5	1
2.3.2	2.3	sublineage	true	1322	44	27	16
2.3.3	2.3	sublineage	true	43	1	11	2
2.4.0	2.4	unresolved_bucket	false	24	6	11	1
2.4.1	2.4	sublineage	true	55	13	17	1
2.4.2	2.4	sublineage	true	864	13	21	4
2.4.4	2.4	sublineage	true	6	3	4	1
2.4.5	2.4	sublineage	true	31	1	8	3
2.4.6	2.4	sublineage	true	87	2	10	3
2.4.7	2.4	sublineage	true	50	3	12	1
2.4.9	2.4	sublineage	true	7	2	5	1
2.4.10	2.4	sublineage	true	263	6	14	3
2.4.11	2.4	sublineage	true	27	3	12	3
2.4.12	2.4	sublineage	true	96	2	13	5
2.4.13	2.4	sublineage	true	637	4	13	3
2.4.14	2.4	sublineage	true	558	24	17	6
2.4.15	2.4	sublineage	true	412	7	9	6
2.4.16	2.4	sublineage	true	219	20	17	6
2.4.17	2.4	sublineage	true	5	1	2	1
2.5.0	2.5	unresolved_bucket	false	13	5	5	1
2.5.1	2.5	sublineage	true	147	12	8	1
2.5.2	2.5	sublineage	true	84	4	13	3
2.5.3	2.5	sublineage	true	29	10	9	2
2.5.4	2.5	sublineage	true	7	3	3	1
2.5.5	2.5	sublineage	true	5	3	3	1
2.5.6	2.5	sublineage	true	3241	45	16	17
2.5.7	2.5	sublineage	true	11	2	2	1
2.5.8	2.5	sublineage	true	78	12	10	2
2.5.9	2.5	sublineage	true	5	1	1	1
