node	node_type	sample_id	mutation_events
DRR033183.result.fastq	leaf	DRR033183	2
DRR033185.result.fastq	leaf	DRR033185	1
DRR033187.result.fastq	leaf	DRR033187	5
DRR033190.result.fastq	leaf	DRR033190	1
DRR033191.result.fastq	leaf	DRR033191	1
DRR033194.result.fastq	leaf	DRR033194	1
DRR033195.result.fastq	leaf	DRR033195	1
DRR033196.result.fastq	leaf	DRR033196	2
DRR033197.result.fastq	leaf	DRR033197	3
DRR033198.result.fastq	leaf	DRR033198	2
DRR033216.result.fastq	leaf	DRR033216	13
DRR035537.result.fastq	leaf	DRR035537	653
DRR035540.result.fastq	leaf	DRR035540	3
DRR035551.result.fastq	leaf	DRR035551	5
DRR035552.result.fastq	leaf	DRR035552	3
DRR035553.result.fastq	leaf	DRR035553	3
DRR035554.result.fastq	leaf	DRR035554	294
DRR035556.result.fastq	leaf	DRR035556	11
DRR035557.result.fastq	leaf	DRR035557	4
DRR035559.result.fastq	leaf	DRR035559	20
DRR035566.result.fastq	leaf	DRR035566	344
DRR035567.result.fastq	leaf	DRR035567	343
DRR035568.result.fastq	leaf	DRR035568	344
DRR035570.result.fastq	leaf	DRR035570	2
DRR035573.result.fastq	leaf	DRR035573	584
DRR035578.result.fastq	leaf	DRR035578	1
DRR035579.result.fastq	leaf	DRR035579	24
DRR035581.result.fastq	leaf	DRR035581	1
DRR035585.result.fastq	leaf	DRR035585	345
DRR035586.result.fastq	leaf	DRR035586	2
DRR035587.result.fastq	leaf	DRR035587	4
DRR035588.result.fastq	leaf	DRR035588	719
DRR035590.result.fastq	leaf	DRR035590	8595
DRR035591.result.fastq	leaf	DRR035591	3
DRR035594.result.fastq	leaf	DRR035594	1
DRR035595.result.fastq	leaf	DRR035595	1
DRR035596.result.fastq	leaf	DRR035596	354
DRR035600.result.fastq	leaf	DRR035600	8
DRR035602.result.fastq	leaf	DRR035602	6
DRR035606.result.fastq	leaf	DRR035606	3
DRR035607.result.fastq	leaf	DRR035607	1
DRR035608.result.fastq	leaf	DRR035608	4464
DRR035611.result.fastq	leaf	DRR035611	294
DRR035613.result.fastq	leaf	DRR035613	292
DRR035616.result.fastq	leaf	DRR035616	12
DRR035617.result.fastq	leaf	DRR035617	348
DRR035618.result.fastq	leaf	DRR035618	348
DRR035620.result.fastq	leaf	DRR035620	351
DRR039780.result.fastq	leaf	DRR039780	16
DRR039795.result.fastq	leaf	DRR039795	1
DRR039796.result.fastq	leaf	DRR039796	4
DRR039797.result.fastq	leaf	DRR039797	1
DRR039803.result.fastq	leaf	DRR039803	1
DRR039806.result.fastq	leaf	DRR039806	455
DRR039809.result.fastq	leaf	DRR039809	7077
DRR039812.result.fastq	leaf	DRR039812	1
DRR039817.result.fastq	leaf	DRR039817	2
DRR039824.result.fastq	leaf	DRR039824	1302
DRR039825.result.fastq	leaf	DRR039825	45
DRR039828.result.fastq	leaf	DRR039828	343
DRR039834.result.fastq	leaf	DRR039834	28
DRR039835.result.fastq	leaf	DRR039835	1
DRR039839.result.fastq	leaf	DRR039839	17
DRR039846.result.fastq	leaf	DRR039846	1
DRR039851.result.fastq	leaf	DRR039851	5
DRR039857.result.fastq	leaf	DRR039857	1
DRR039863.result.fastq	leaf	DRR039863	2
DRR039865.result.fastq	leaf	DRR039865	2
DRR039869.result.fastq	leaf	DRR039869	6
DRR039870.result.fastq	leaf	DRR039870	2
DRR039871.result.fastq	leaf	DRR039871	1
DRR039872.result.fastq	leaf	DRR039872	1
DRR039873.result.fastq	leaf	DRR039873	3
DRR039876.result.fastq	leaf	DRR039876	1
DRR039879.result.fastq	leaf	DRR039879	3499
DRR039880.result.fastq	leaf	DRR039880	2
DRR039883.result.fastq	leaf	DRR039883	2
DRR039890.result.fastq	leaf	DRR039890	4
DRR039891.result.fastq	leaf	DRR039891	2
DRR054699.result.fastq	leaf	DRR054699	142
ERR110061.result.fastq	leaf	ERR110061	9
ERR1125118.result.fastq	leaf	ERR1125118	1
ERR119677.result.fastq	leaf	ERR119677	173
ERR119678.result.fastq	leaf	ERR119678	6
ERR1226910.result.fastq	leaf	ERR1226910	2
ERR1226911.result.fastq	leaf	ERR1226911	2
ERR1226978.result.fastq	leaf	ERR1226978	2
ERR1226979.result.fastq	leaf	ERR1226979	3
ERR1226980.result.fastq	leaf	ERR1226980	1
ERR1227001.result.fastq	leaf	ERR1227001	2
ERR1227002.result.fastq	leaf	ERR1227002	2346
ERR1227003.result.fastq	leaf	ERR1227003	10
ERR1227243.result.fastq	leaf	ERR1227243	1
ERR1227276.result.fastq	leaf	ERR1227276	2
ERR1227277.result.fastq	leaf	ERR1227277	5
ERR1227295.result.fastq	leaf	ERR1227295	1
ERR1227297.result.fastq	leaf	ERR1227297	3
ERR1417306.result.fastq	leaf	ERR1417306	1
