sequence	start	end	source_line
NC_017847.1	1	383	4
NC_017847.1	385	388	5
NC_017847.1	6258	6259	6
NC_017847.1	6261	6269	7
NC_017847.1	7198	7199	8
NC_017847.1	7201	7359	9
NC_017847.1	7364	7364	10
NC_017847.1	7518	7518	11
NC_017847.1	7522	7522	12
NC_017847.1	7525	7526	13
NC_017847.1	7528	7531	14
NC_017847.1	7533	7540	15
NC_017847.1	7792	8054	16
NC_017847.1	8396	8401	17
NC_017847.1	10137	10143	18
NC_017847.1	10146	10147	19
NC_017847.1	10253	10256	20
NC_017847.1	11291	11291	21
NC_017847.1	11296	11296	22
NC_017847.1	11298	11298	23
NC_017847.1	11301	11306	24
NC_017847.1	11308	11308	25
NC_017847.1	11310	11483	26
NC_017847.1	12814	12815	27
NC_017847.1	12817	12818	28
NC_017847.1	14344	14562	29
NC_017847.1	14645	14645	30
NC_017847.1	14988	15064	31
NC_017847.1	17849	17850	32
NC_017847.1	17863	17863	33
NC_017847.1	17903	24241	34
NC_017847.1	24518	24518	35
NC_017847.1	24522	24522	36
NC_017847.1	24532	24534	37
NC_017847.1	24735	24744	38
NC_017847.1	24751	24751	39
NC_017847.1	24768	24769	40
NC_017847.1	25477	26030	41
NC_017847.1	26035	26038	42
NC_017847.1	26040	26040	43
NC_017847.1	26250	26384	44
NC_017847.1	27136	27144	45
NC_017847.1	27748	27749	46
NC_017847.1	27771	27771	47
NC_017847.1	28466	28473	48
NC_017847.1	28475	28476	49
NC_017847.1	29241	29290	50
NC_017847.1	30106	30106	51
NC_017847.1	30131	30212	52
NC_017847.1	33856	33857	53
NC_017847.1	34077	34185	54
NC_017847.1	36971	37164	55
NC_017847.1	37181	37190	56
NC_017847.1	37193	37194	57
NC_017847.1	37306	39004	58
NC_017847.1	40697	40750	59
NC_017847.1	40752	40758	60
NC_017847.1	40760	40760	61
NC_017847.1	40762	40762	62
NC_017847.1	45568	45568	63
NC_017847.1	47122	47124	64
NC_017847.1	47346	47387	65
NC_017847.1	47439	47439	66
NC_017847.1	47527	47702	67
NC_017847.1	48978	48979	68
NC_017847.1	49003	49003	69
NC_017847.1	49068	49068	70
NC_017847.1	49077	49077	71
NC_017847.1	49083	49083	72
NC_017847.1	49089	49089	73
NC_017847.1	51237	51870	74
NC_017847.1	56767	56768	75
NC_017847.1	56776	56777	76
NC_017847.1	57565	57566	77
NC_017847.1	58041	58041	78
NC_017847.1	58082	58082	79
NC_017847.1	58911	58970	80
NC_017847.1	58987	58988	81
NC_017847.1	59422	59430	82
NC_017847.1	59887	59926	83
NC_017847.1	59930	59933	84
NC_017847.1	59935	59935	85
NC_017847.1	60218	60309	86
NC_017847.1	61132	61133	87
NC_017847.1	61135	61141	88
NC_017847.1	62500	62500	89
NC_017847.1	62679	62679	90
NC_017847.1	63376	63380	91
NC_017847.1	63382	63405	92
NC_017847.1	63481	63482	93
NC_017847.1	63515	63515	94
NC_017847.1	63525	63526	95
NC_017847.1	63586	63586	96
NC_017847.1	63846	63984	97
NC_017847.1	63990	63990	98
NC_017847.1	64008	64009	99
NC_017847.1	64012	64020	100
NC_017847.1	64028	64029	101
NC_017847.1	64765	64766	102
NC_017847.1	68427	68427	103
NC_017847.1	68441	68441	104
NC_017847.1	69283	69283	105
NC_017847.1	69588	69786	106
NC_017847.1	69800	69800	107
NC_017847.1	69807	69814	108
NC_017847.1	70133	70143	109
NC_017847.1	70148	70149	110
